transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description
65,1080,2068,87340.88,01/01/2023 00:01,1,Discover,City-47,Gas Station,36,Purchase at Merchant-2068
66,1047,2033,78840.77,01/01/2023 00:01,1,Discover,City-21,Online Shopping,27,Purchase at Merchant-2033
67,1074,2064,3820.76,01/01/2023 00:01,0,Discover,City-34,Restaurant,62,Purchase at Merchant-2064
68,1025,2012,8703.8,01/01/2023 00:01,0,American Express,City-44,Online Shopping,61,Purchase at Merchant-2012
69,1091,2031,1502.35,01/01/2023 00:01,0,Discover,City-4,Restaurant,44,Purchase at Merchant-2031
70,1009,2077,3663.44,01/01/2023 00:01,0,American Express,City-35,Retail,38,Purchase at Merchant-2077
71,1006,2016,43490.47,01/01/2023 00:01,1,American Express,City-19,Groceries,42,Purchase at Merchant-2016
72,1085,2099,8175.87,01/01/2023 00:01,0,American Express,City-13,Groceries,27,Purchase at Merchant-2099
73,1030,2041,9054.57,01/01/2023 00:01,0,Visa,City-6,Retail,45,Purchase at Merchant-2041
74,1099,2043,1518.88,01/01/2023 00:01,0,American Express,City-40,Retail,22,Purchase at Merchant-2043
75,1038,2075,9460.97,01/01/2023 00:01,0,Visa,City-27,Restaurant,43,Purchase at Merchant-2075
76,1011,2095,2177.77,01/01/2023 00:01,0,American Express,City-41,Retail,21,Purchase at Merchant-2095
77,1030,2050,173.73,01/01/2023 00:01,0,American Express,City-21,Gas Station,34,Purchase at Merchant-2050
78,1013,2096,4728.16,01/01/2023 00:01,0,Visa,City-11,Online Shopping,43,Purchase at Merchant-2096
79,1049,2096,2716.19,01/01/2023 00:01,0,American Express,City-47,Gas Station,37,Purchase at Merchant-2096
80,1036,2031,19850.59,01/01/2023 00:01,1,Discover,City-5,Groceries,33,Purchase at Merchant-2031
81,1059,2055,4978.25,01/01/2023 00:01,0,MasterCard,City-45,Gas Station,19,Purchase at Merchant-2055
82,1082,2028,15910.58,01/01/2023 00:01,1,American Express,City-29,Gas Station,64,Purchase at Merchant-2028
83,1047,2019,82990.48,01/01/2023 00:01,1,Discover,City-37,Gas Station,19,Purchase at Merchant-2019
84,1021,2014,85390.61,01/01/2023 00:01,1,Discover,City-48,Gas Station,46,Purchase at Merchant-2014
85,1048,2023,2783.92,01/01/2023 00:01,0,American Express,City-3,Restaurant,28,Purchase at Merchant-2023
86,1046,2028,1907.56,01/01/2023 00:01,0,Discover,City-41,Groceries,37,Purchase at Merchant-2028
87,1027,2036,60720.18,01/01/2023 00:01,1,American Express,City-2,Groceries,47,Purchase at Merchant-2036
88,1086,2057,49960.38,01/01/2023 00:01,1,Discover,City-21,Online Shopping,43,Purchase at Merchant-2057
89,1035,2053,4356.72,01/01/2023 00:01,0,MasterCard,City-13,Travel,42,Purchase at Merchant-2053
90,1090,2033,8517.45,01/01/2023 00:01,0,Discover,City-43,Online Shopping,62,Purchase at Merchant-2033
91,1088,2076,48780.55,01/01/2023 00:01,1,American Express,City-5,Groceries,18,Purchase at Merchant-2076
92,1083,2008,6661.23,01/01/2023 00:01,0,Visa,City-9,Retail,40,Purchase at Merchant-2008
93,1010,2063,3540.16,01/01/2023 00:01,0,Visa,City-27,Restaurant,67,Purchase at Merchant-2063
94,1078,2069,10690.05,01/01/2023 00:01,1,American Express,City-2,Gas Station,63,Purchase at Merchant-2069
95,1082,2048,95290.97,01/01/2023 00:01,1,American Express,City-24,Groceries,31,Purchase at Merchant-2048
96,1022,2090,7063.18,01/01/2023 00:01,0,Visa,City-21,Retail,22,Purchase at Merchant-2090
97,1069,2015,6082.1,01/01/2023 00:01,0,American Express,City-45,Gas Station,31,Purchase at Merchant-2015
98,1094,2041,14230.36,01/01/2023 00:01,1,American Express,City-32,Gas Station,57,Purchase at Merchant-2041
99,1032,2070,5192.44,01/01/2023 00:01,0,American Express,City-20,Retail,63,Purchase at Merchant-2070
100,1021,2055,4947.37,01/01/2023 00:01,0,American Express,City-4,Groceries,48,Purchase at Merchant-2055
101,1060,2061,2171.87,01/01/2023 00:01,0,Visa,City-9,Travel,66,Purchase at Merchant-2061
102,1049,2088,49100.16,01/01/2023 00:01,1,American Express,City-41,Gas Station,51,Purchase at Merchant-2088
103,1035,2032,9569,01/01/2023 00:01,0,Discover,City-35,Restaurant,31,Purchase at Merchant-2032
104,1082,2036,63180.77,01/01/2023 00:01,1,American Express,City-49,Gas Station,47,Purchase at Merchant-2036
105,1089,2019,3392.42,01/01/2023 00:01,0,Visa,City-20,Gas Station,36,Purchase at Merchant-2019
106,1072,2047,31130.01,01/01/2023 00:01,1,Discover,City-22,Retail,48,Purchase at Merchant-2047
107,1029,2061,61880.62,01/01/2023 00:01,1,Discover,City-40,Groceries,42,Purchase at Merchant-2061
108,1088,2092,6120.15,01/01/2023 00:01,0,American Express,City-24,Retail,42,Purchase at Merchant-2092
109,1042,2048,5995.17,01/01/2023 00:01,0,MasterCard,City-35,Restaurant,68,Purchase at Merchant-2048
110,1099,2040,5301.07,01/01/2023 00:01,0,American Express,City-49,Online Shopping,64,Purchase at Merchant-2040
111,1100,2003,3417.56,01/01/2023 00:01,0,MasterCard,City-29,Travel,56,Purchase at Merchant-2003
112,1008,2083,37390.81,01/01/2023 00:01,1,American Express,City-28,Gas Station,68,Purchase at Merchant-2083
113,1030,2078,68880.26,01/01/2023 00:01,1,American Express,City-37,Groceries,32,Purchase at Merchant-2078
114,1005,2005,1290.05,01/01/2023 00:01,0,Discover,City-21,Travel,49,Purchase at Merchant-2005
115,1041,2095,56570.62,01/01/2023 00:01,1,Discover,City-24,Online Shopping,48,Purchase at Merchant-2095
116,1052,2085,47400.50,01/01/2023 00:01,1,Discover,City-37,Online Shopping,64,Purchase at Merchant-2085
117,1035,2007,186.92,01/01/2023 00:01,0,American Express,City-7,Online Shopping,48,Purchase at Merchant-2007
118,1009,2089,37060.39,01/01/2023 00:01,1,American Express,City-41,Retail,68,Purchase at Merchant-2089
119,1028,2086,2468.64,01/01/2023 00:01,0,Discover,City-11,Groceries,29,Purchase at Merchant-2086
120,1073,2031,9446.32,01/01/2023 00:01,0,Discover,City-27,Online Shopping,37,Purchase at Merchant-2031
121,1092,2033,6885.93,01/01/2023 00:02,0,American Express,City-34,Restaurant,67,Purchase at Merchant-2033
122,1041,2071,9102.36,01/01/2023 00:02,0,American Express,City-6,Online Shopping,65,Purchase at Merchant-2071
123,1028,2050,9026.52,01/01/2023 00:02,0,Discover,City-15,Travel,29,Purchase at Merchant-2050
124,1084,2040,6342.38,01/01/2023 00:02,0,American Express,City-3,Groceries,34,Purchase at Merchant-2040
125,1064,2082,90190.38,01/01/2023 00:02,1,American Express,City-32,Gas Station,28,Purchase at Merchant-2082
126,1051,2090,4767.11,01/01/2023 00:02,0,Visa,City-34,Retail,48,Purchase at Merchant-2090
127,1083,2047,28120.51,01/01/2023 00:02,1,American Express,City-16,Gas Station,50,Purchase at Merchant-2047
128,1059,2088,34140.17,01/01/2023 00:02,1,Discover,City-29,Gas Station,37,Purchase at Merchant-2088
129,1019,2016,7940.24,01/01/2023 00:02,0,Discover,City-14,Restaurant,68,Purchase at Merchant-2016
130,1034,2069,69860.31,01/01/2023 00:02,1,Discover,City-7,Groceries,62,Purchase at Merchant-2069
131,1018,2031,9019.54,01/01/2023 00:02,0,MasterCard,City-34,Groceries,22,Purchase at Merchant-2031
132,1032,2057,96550.08,01/01/2023 00:02,1,Discover,City-45,Gas Station,29,Purchase at Merchant-2057
133,1096,2050,7818.14,01/01/2023 00:02,0,American Express,City-45,Travel,52,Purchase at Merchant-2050
134,1072,2002,5727.03,01/01/2023 00:02,0,Visa,City-16,Groceries,60,Purchase at Merchant-2002
135,1069,2051,91140.69,01/01/2023 00:02,1,Discover,City-23,Groceries,49,Purchase at Merchant-2051
136,1034,2033,70830.97,01/01/2023 00:02,1,American Express,City-38,Groceries,58,Purchase at Merchant-2033
137,1096,2039,60970.78,01/01/2023 00:02,1,Discover,City-20,Gas Station,44,Purchase at Merchant-2039
138,1075,2012,81350.09,01/01/2023 00:02,1,American Express,City-7,Gas Station,67,Purchase at Merchant-2012
139,1055,2097,24980.50,01/01/2023 00:02,1,American Express,City-11,Groceries,68,Purchase at Merchant-2097
140,1075,2031,56370.35,01/01/2023 00:02,1,Discover,City-48,Gas Station,24,Purchase at Merchant-2031
141,1052,2039,8906.66,01/01/2023 00:02,0,Discover,City-16,Gas Station,26,Purchase at Merchant-2039
142,1047,2027,3141.47,01/01/2023 00:02,0,Visa,City-49,Travel,66,Purchase at Merchant-2027
143,1029,2021,8808.47,01/01/2023 00:02,0,Visa,City-48,Restaurant,65,Purchase at Merchant-2021
144,1018,2057,3847.59,01/01/2023 00:02,0,MasterCard,City-17,Travel,50,Purchase at Merchant-2057
145,1066,2081,1492.07,01/01/2023 00:02,0,American Express,City-21,Groceries,27,Purchase at Merchant-2081
146,1064,2041,3223.33,01/01/2023 00:02,0,MasterCard,City-38,Travel,45,Purchase at Merchant-2041
147,1012,2099,52970.06,01/01/2023 00:02,1,American Express,City-46,Gas Station,24,Purchase at Merchant-2099
148,1097,2083,4632.27,01/01/2023 00:02,0,Discover,City-12,Online Shopping,28,Purchase at Merchant-2083
149,1007,2053,90050.30,01/01/2023 00:02,1,American Express,City-13,Gas Station,35,Purchase at Merchant-2053
150,1015,2005,94710.97,01/01/2023 00:02,1,American Express,City-12,Gas Station,63,Purchase at Merchant-2005
151,1020,2036,7280.99,01/01/2023 00:02,0,MasterCard,City-24,Groceries,55,Purchase at Merchant-2036
152,1081,2011,678.59,01/01/2023 00:02,0,American Express,City-45,Travel,57,Purchase at Merchant-2011
153,1021,2100,39010.87,01/01/2023 00:02,1,American Express,City-34,Gas Station,53,Purchase at Merchant-2100
154,1088,2063,1939.89,01/01/2023 00:02,0,Discover,City-4,Gas Station,47,Purchase at Merchant-2063
155,1055,2061,7701.76,01/01/2023 00:02,0,Visa,City-48,Online Shopping,46,Purchase at Merchant-2061
156,1077,2095,7121.96,01/01/2023 00:02,0,American Express,City-12,Restaurant,56,Purchase at Merchant-2095
157,1009,2053,3644.19,01/01/2023 00:02,0,Discover,City-19,Online Shopping,54,Purchase at Merchant-2053
158,1050,2043,77790.82,01/01/2023 00:02,1,American Express,City-23,Online Shopping,56,Purchase at Merchant-2043
159,1049,2092,47420.73,01/01/2023 00:02,1,American Express,City-21,Gas Station,36,Purchase at Merchant-2092
160,1077,2055,2241.1,01/01/2023 00:02,0,Visa,City-32,Gas Station,60,Purchase at Merchant-2055
161,1060,2013,400.50,01/01/2023 00:02,1,Discover,City-5,Groceries,50,Purchase at Merchant-2013
162,1068,2021,3568.13,01/01/2023 00:02,0,MasterCard,City-7,Travel,22,Purchase at Merchant-2021
163,1033,2090,62100.32,01/01/2023 00:02,1,Discover,City-50,Groceries,55,Purchase at Merchant-2090
164,1071,2034,56230.16,01/01/2023 00:02,1,American Express,City-25,Gas Station,37,Purchase at Merchant-2034
165,1002,2065,78390.01,01/01/2023 00:02,1,American Express,City-12,Groceries,62,Purchase at Merchant-2065
166,1088,2009,95670.11,01/01/2023 00:02,1,Discover,City-45,Retail,20,Purchase at Merchant-2009
167,1093,2046,48520.13,01/01/2023 00:02,1,American Express,City-30,Gas Station,44,Purchase at Merchant-2046
168,1015,2054,31480.54,01/01/2023 00:02,1,Discover,City-18,Gas Station,63,Purchase at Merchant-2054
169,1088,2078,88330.30,01/01/2023 00:02,1,American Express,City-50,Online Shopping,53,Purchase at Merchant-2078
170,1069,2094,2008.58,01/01/2023 00:02,0,Discover,City-14,Retail,25,Purchase at Merchant-2094
171,1097,2071,81090.18,01/01/2023 00:02,1,American Express,City-22,Gas Station,29,Purchase at Merchant-2071
172,1035,2095,1890.07,01/01/2023 00:02,0,Visa,City-7,Online Shopping,47,Purchase at Merchant-2095
173,1099,2042,9237.85,01/01/2023 00:02,0,MasterCard,City-19,Restaurant,40,Purchase at Merchant-2042
174,1083,2059,60540.76,01/01/2023 00:02,1,American Express,City-39,Retail,43,Purchase at Merchant-2059
175,1044,2089,29630.24,01/01/2023 00:02,1,Discover,City-9,Online Shopping,23,Purchase at Merchant-2089
176,1015,2004,615.02,01/01/2023 00:02,0,MasterCard,City-33,Restaurant,64,Purchase at Merchant-2004
177,1038,2098,88480.87,01/01/2023 00:02,1,American Express,City-27,Retail,18,Purchase at Merchant-2098
178,1056,2007,52390.79,01/01/2023 00:02,1,Discover,City-13,Groceries,36,Purchase at Merchant-2007
179,1021,2083,5046.25,01/01/2023 00:02,0,Visa,City-9,Groceries,20,Purchase at Merchant-2083
180,1059,2083,24890.78,01/01/2023 00:02,1,American Express,City-32,Gas Station,53,Purchase at Merchant-2083
181,1001,2024,3766.33,01/01/2023 00:03,0,American Express,City-45,Travel,45,Purchase at Merchant-2024
182,1093,2081,70090.45,01/01/2023 00:03,1,Discover,City-4,Gas Station,48,Purchase at Merchant-2081
183,1093,2057,8528.48,01/01/2023 00:03,0,Discover,City-10,Retail,30,Purchase at Merchant-2057
184,1034,2083,2988.79,01/01/2023 00:03,0,MasterCard,City-14,Restaurant,27,Purchase at Merchant-2083
185,1065,2018,20500.36,01/01/2023 00:03,1,American Express,City-7,Gas Station,38,Purchase at Merchant-2018
186,1098,2001,29680.07,01/01/2023 00:03,1,American Express,City-30,Retail,68,Purchase at Merchant-2001
187,1023,2052,2970.92,01/01/2023 00:03,1,American Express,City-17,Groceries,51,Purchase at Merchant-2052
188,1065,2026,64430.44,01/01/2023 00:03,1,American Express,City-41,Gas Station,43,Purchase at Merchant-2026
189,1014,2081,4220.02,01/01/2023 00:03,0,Visa,City-3,Restaurant,50,Purchase at Merchant-2081
190,1081,2040,3692.63,01/01/2023 00:03,0,American Express,City-9,Online Shopping,35,Purchase at Merchant-2040
191,1039,2041,77600.21,01/01/2023 00:03,1,Discover,City-34,Gas Station,51,Purchase at Merchant-2041
192,1082,2074,99290.87,01/01/2023 00:03,1,American Express,City-48,Groceries,22,Purchase at Merchant-2074
193,1065,2011,44720.38,01/01/2023 00:03,1,American Express,City-5,Retail,19,Purchase at Merchant-2011
194,1078,2015,38260.37,01/01/2023 00:03,1,American Express,City-3,Online Shopping,42,Purchase at Merchant-2015
195,1026,2021,1578.21,01/01/2023 00:03,0,MasterCard,City-25,Restaurant,28,Purchase at Merchant-2021
196,1020,2032,4446.95,01/01/2023 00:03,0,MasterCard,City-1,Retail,35,Purchase at Merchant-2032
197,1048,2067,31470.73,01/01/2023 00:03,1,American Express,City-50,Retail,47,Purchase at Merchant-2067
198,1098,2092,93690.66,01/01/2023 00:03,1,American Express,City-41,Online Shopping,22,Purchase at Merchant-2092
199,1021,2099,4564.87,01/01/2023 00:03,0,American Express,City-32,Groceries,42,Purchase at Merchant-2099
200,1070,2084,19850.83,01/01/2023 00:03,1,Discover,City-25,Groceries,40,Purchase at Merchant-2084
201,1100,2098,60690.36,01/01/2023 00:03,1,Discover,City-15,Online Shopping,43,Purchase at Merchant-2098
202,1068,2017,2854.78,01/01/2023 00:03,0,Visa,City-19,Travel,57,Purchase at Merchant-2017
203,1001,2077,5868.94,01/01/2023 00:03,0,Visa,City-18,Retail,30,Purchase at Merchant-2077
204,1077,2088,32340.81,01/01/2023 00:03,1,American Express,City-14,Groceries,58,Purchase at Merchant-2088
205,1042,2053,179.39,01/01/2023 00:03,0,American Express,City-14,Travel,66,Purchase at Merchant-2053
206,1063,2041,5330.71,01/01/2023 00:03,1,Discover,City-18,Gas Station,62,Purchase at Merchant-2041
207,1003,2058,3272.11,01/01/2023 00:03,0,MasterCard,City-44,Gas Station,68,Purchase at Merchant-2058
208,1015,2062,4776.24,01/01/2023 00:03,0,Discover,City-27,Retail,68,Purchase at Merchant-2062
209,1047,2095,14260.11,01/01/2023 00:03,1,American Express,City-1,Gas Station,52,Purchase at Merchant-2095
210,1040,2018,8319.73,01/01/2023 00:03,0,MasterCard,City-12,Retail,65,Purchase at Merchant-2018
211,1031,2034,3756.54,01/01/2023 00:03,0,Visa,City-42,Retail,44,Purchase at Merchant-2034
212,1008,2023,2640.40,01/01/2023 00:03,1,American Express,City-48,Gas Station,38,Purchase at Merchant-2023
213,1031,2088,4348.25,01/01/2023 00:03,0,American Express,City-25,Restaurant,22,Purchase at Merchant-2088
214,1073,2076,32450.60,01/01/2023 00:03,1,American Express,City-14,Groceries,29,Purchase at Merchant-2076
215,1011,2042,17880.20,01/01/2023 00:03,1,American Express,City-16,Online Shopping,19,Purchase at Merchant-2042
216,1011,2037,6134.69,01/01/2023 00:03,0,Discover,City-47,Gas Station,39,Purchase at Merchant-2037
217,1094,2026,76070.71,01/01/2023 00:03,1,American Express,City-24,Gas Station,34,Purchase at Merchant-2026
218,1063,2011,64390.77,01/01/2023 00:03,1,American Express,City-26,Online Shopping,25,Purchase at Merchant-2011
219,1009,2054,32460.90,01/01/2023 00:03,1,American Express,City-18,Groceries,40,Purchase at Merchant-2054
220,1098,2048,75670.35,01/01/2023 00:03,1,American Express,City-5,Online Shopping,68,Purchase at Merchant-2048
221,1069,2024,4030.42,01/01/2023 00:03,1,Discover,City-46,Gas Station,26,Purchase at Merchant-2024
222,1099,2051,51210.97,01/01/2023 00:03,1,American Express,City-26,Groceries,50,Purchase at Merchant-2051
223,1017,2049,7230.54,01/01/2023 00:03,0,Discover,City-41,Online Shopping,19,Purchase at Merchant-2049
224,1017,2074,71390.50,01/01/2023 00:03,1,Discover,City-12,Groceries,64,Purchase at Merchant-2074
225,1085,2029,4971.8,01/01/2023 00:03,0,Visa,City-38,Travel,48,Purchase at Merchant-2029
226,1061,2003,92700.22,01/01/2023 00:03,1,Discover,City-36,Retail,50,Purchase at Merchant-2003
227,1071,2003,1407.72,01/01/2023 00:03,0,Visa,City-43,Groceries,44,Purchase at Merchant-2003
228,1022,2072,1031.51,01/01/2023 00:03,0,Discover,City-32,Online Shopping,66,Purchase at Merchant-2072
229,1034,2083,1642.18,01/01/2023 00:03,0,Visa,City-3,Restaurant,37,Purchase at Merchant-2083
230,1068,2079,71410.40,01/01/2023 00:03,1,American Express,City-11,Gas Station,47,Purchase at Merchant-2079
231,1078,2081,927.68,01/01/2023 00:03,0,Discover,City-22,Restaurant,67,Purchase at Merchant-2081
232,1055,2030,3609.57,01/01/2023 00:03,0,American Express,City-10,Restaurant,48,Purchase at Merchant-2030
233,1028,2012,35770.24,01/01/2023 00:03,1,Discover,City-7,Groceries,18,Purchase at Merchant-2012
234,1070,2060,820.78,01/01/2023 00:03,0,Visa,City-24,Online Shopping,25,Purchase at Merchant-2060
235,1097,2026,3442.3,01/01/2023 00:03,0,American Express,City-47,Online Shopping,44,Purchase at Merchant-2026
236,1094,2034,7050.07,01/01/2023 00:03,1,American Express,City-47,Online Shopping,55,Purchase at Merchant-2034
237,1089,2090,4011.59,01/01/2023 00:03,0,MasterCard,City-6,Gas Station,42,Purchase at Merchant-2090
238,1026,2022,6300.88,01/01/2023 00:03,1,Discover,City-18,Gas Station,26,Purchase at Merchant-2022
239,1092,2007,4169.37,01/01/2023 00:03,0,Visa,City-44,Online Shopping,19,Purchase at Merchant-2007
240,1040,2052,78990.39,01/01/2023 00:03,1,American Express,City-41,Gas Station,65,Purchase at Merchant-2052
241,1052,2080,6948.92,01/01/2023 00:04,0,American Express,City-47,Online Shopping,27,Purchase at Merchant-2080
242,1086,2055,54850.49,01/01/2023 00:04,1,American Express,City-15,Online Shopping,60,Purchase at Merchant-2055
243,1084,2077,9030.84,01/01/2023 00:04,1,Discover,City-23,Gas Station,33,Purchase at Merchant-2077
244,1048,2034,2080.47,01/01/2023 00:04,0,American Express,City-7,Restaurant,30,Purchase at Merchant-2034
245,1057,2020,15990.01,01/01/2023 00:04,1,American Express,City-31,Online Shopping,42,Purchase at Merchant-2020
246,1067,2012,7630.01,01/01/2023 00:04,0,MasterCard,City-9,Online Shopping,26,Purchase at Merchant-2012
247,1058,2048,86870.96,01/01/2023 00:04,1,Discover,City-42,Gas Station,49,Purchase at Merchant-2048
248,1016,2022,22810.69,01/01/2023 00:04,1,Discover,City-13,Groceries,19,Purchase at Merchant-2022
249,1032,2073,5740.58,01/01/2023 00:04,1,American Express,City-43,Online Shopping,43,Purchase at Merchant-2073
250,1029,2016,68380.38,01/01/2023 00:04,1,Discover,City-25,Gas Station,41,Purchase at Merchant-2016
251,1009,2002,2520.01,01/01/2023 00:04,1,American Express,City-33,Gas Station,67,Purchase at Merchant-2002
252,1044,2092,6432.6,01/01/2023 00:04,0,Discover,City-24,Online Shopping,33,Purchase at Merchant-2092
253,1003,2068,69750.90,01/01/2023 00:04,1,Discover,City-3,Gas Station,61,Purchase at Merchant-2068
